MSTI_VAR,COU,Year,Value
G_PPP,USA,2011,429792
G_PPP,USA,2012,434349
G_PPP,USA,2013,455128
G_PPP,USA,2014,477003
G_PPP,USA,2015,495893
G_PPP,USA,2016,522652
G_PPP,USA,2017,556343
G_PPP,USA,2018,607474
G_PPP,USA,2019,657459
G_PPP,ARG,2000,1879.96530650041
G_PPP,ARG,2001,1776.92620716554
G_PPP,ARG,2002,1472.98503218534
G_PPP,ARG,2003,1722.22203014432
G_PPP,ARG,2004,1898.35502773272
G_PPP,ARG,2005,2220.39362806674
G_PPP,ARG,2006,2656.19417079062
G_PPP,ARG,2007,3025.25177591377
G_PPP,ARG,2008,3282.32229151341
G_PPP,ARG,2009,3882.03350335145
G_PPP,ARG,2010,4155.46081668764
G_PPP,ARG,2011,4539.12782554402
G_PPP,ARG,2012,5236.87047217383
G_PPP,ARG,2013,5287.46746003137
G_PPP,ARG,2014,4976.32516936646
G_PPP,ARG,2015,5363.84361835373
G_PPP,ARG,2016,4693.40569498564
G_PPP,ARG,2017,5781.9519671222
G_PPP,CHL,2007,866.94356718737
G_PPP,CHL,2008,1033.8481424827
G_PPP,CHL,2009,960.574824523151
G_PPP,CHL,2010,1020.99800490372
G_PPP,CHL,2011,1232.0688425661
G_PPP,CHL,2012,1355.52057117117
G_PPP,CHL,2013,1532.61142160614
G_PPP,CHL,2014,1517.64127915969
G_PPP,CHL,2015,1552.90304659382
G_PPP,CHL,2016,1576.27003461714
G_PPP,CHL,2017,1608.73221058168
G_PPP,CHL,2018,1623.39465652709
G_PPP,CHN,2000,32936.5562716523
G_PPP,CHN,2001,38390.4162484233
G_PPP,CHN,2002,47878.9657940807
G_PPP,CHN,2003,56834.3153670663
G_PPP,CHN,2004,69694.6275909099
G_PPP,CHN,2005,86177.6442268357
G_PPP,CHN,2006,104718.592773059
G_PPP,CHN,2007,123297.177156144
G_PPP,CHN,2008,145072.544324027
G_PPP,CHN,2009,184124.817522003
G_PPP,CHN,2010,212138.314736171
G_PPP,CHN,2011,246477.199457569
G_PPP,CHN,2012,289202.520931892
G_PPP,CHN,2013,323355.527782115
G_PPP,CHN,2014,346266.282725713
G_PPP,CHN,2015,366080.932147093
G_PPP,CHN,2016,393015.494463737
G_PPP,CHN,2017,420815.584137685
G_PPP,CHN,2018,465501.033134615
G_PPP,CHN,2019,525693.441941858
G_PPP,EST,2000,79.0037501692817
G_PPP,EST,2001,100.033257783753
G_PPP,EST,2002,114.483339978823
G_PPP,EST,2003,137.503228327347
G_PPP,EST,2004,167.392035084087
G_PPP,EST,2005,206.669786940855
G_PPP,EST,2006,289.539056237863
G_PPP,EST,2007,314.664155972107
G_PPP,EST,2008,381.683779230312
G_PPP,EST,2009,381.997942246186
G_PPP,EST,2010,454.869879182045
G_PPP,EST,2011,751.459637005331
G_PPP,EST,2012,730.612165272607
G_PPP,EST,2013,624.099583143385
G_PPP,EST,2014,544.204226506053
G_PPP,EST,2015,563.302476528217
G_PPP,EST,2016,512.154332223489
G_PPP,EST,2017,568.920369282263
G_PPP,EST,2018,676.978541161456
G_PPP,EST,2019,829.942772682768
G_PPP,ISR,2000,6166.82820030051
G_PPP,ISR,2001,6714.71017845545
G_PPP,ISR,2002,6845.65838325917
G_PPP,ISR,2003,6203.10746120792
G_PPP,ISR,2004,6648.43954917131
G_PPP,ISR,2005,6966.29964028555
G_PPP,ISR,2006,7502.6673678033
G_PPP,ISR,2007,8726.48752461568
G_PPP,ISR,2008,8706.36618166583
G_PPP,ISR,2009,8503.74451578737
G_PPP,ISR,2010,8648.11567927463
G_PPP,ISR,2011,9523.03015904671
G_PPP,ISR,2012,10433.4159809462
G_PPP,ISR,2013,11272.3678269867
G_PPP,ISR,2014,11732.3493404413
G_PPP,ISR,2015,12666.90898102
G_PPP,ISR,2016,14588.4987575383
G_PPP,ISR,2017,15873.7513382258
G_PPP,ISR,2018,17366.9058241309
G_PPP,ISR,2019,18740.6463134046
G_PPP,ROU,2000,480.919012934024
G_PPP,ROU,2001,564.767305210144
G_PPP,ROU,2002,587.097019959659
G_PPP,ROU,2003,646.972309779455
G_PPP,ROU,2004,750.405762877306
G_PPP,ROU,2005,844.698598136734
G_PPP,ROU,2006,1117.38114544582
G_PPP,ROU,2007,1461.56982306167
G_PPP,ROU,2008,1903.09720556164
G_PPP,ROU,2009,1504.98115451389
G_PPP,ROU,2010,1570.78165743286
G_PPP,ROU,2011,1797.90510517465
G_PPP,ROU,2012,1837.25609097013
G_PPP,ROU,2013,1534.51633361249
G_PPP,ROU,2014,1569.46679846456
G_PPP,ROU,2015,2090.91703645947
G_PPP,ROU,2016,2301.3854133015
G_PPP,ROU,2017,2675.48609756537
G_PPP,ROU,2018,2854.30643435293
G_PPP,ROU,2019,2995.12565651806
G_PPP,RUS,2000,10504.4317503866
G_PPP,RUS,2001,12647.2443164376
G_PPP,RUS,2002,14558.0893694552
G_PPP,RUS,2003,17215.573823576
G_PPP,RUS,2004,16963.1014283053
G_PPP,RUS,2005,18120.5108521575
G_PPP,RUS,2006,22887.8275721714
G_PPP,RUS,2007,26535.1081836802
G_PPP,RUS,2008,30058.385646497
G_PPP,RUS,2009,34660.5775465682
G_PPP,RUS,2010,33080.8736815585
G_PPP,RUS,2011,33096.706569551
G_PPP,RUS,2012,35765.5608216849
